city,state,lat,lon,strategy,city_multiplier,expected_contribution_eur,downside_contribution_eur,upside_contribution_eur,city_prob_loss,risk_adjusted_city_score,adjusted_break_even_monthly_eur,adjusted_adoption_rate,households_k,income_index,brand_fit_index,logistics_index,competition_intensity,regulatory_complexity,savings_pressure_index,preliminary_readiness_score,objective_break_even_penalty_eur,portfolio_objective_eur,board_signal,launch_readiness_score,capex_estimate_eur,score_density,rollout_year,launch_wave,year_capex_budget_eur,year_capex_used_eur,year_risk_cap,year_loss_risk_avg,selected_by_optimizer,optimization_status,city_rank
Berlin,Berlin,52.52,13.405,subsidized_65_to_20,3.0007935228436167,33834062.39319881,37268333.46235198,40594188.92005833,0.0,33834062.39319881,21.548119888920567,0.5403570000000001,2100.0,0.98,0.83,0.93,0.76,0.78,0.67,60.209999999999994,0.0,37446662.39319881,GO,86.5,68101000.0,0.5498694937401626,2,Wave 2 Scale,120000000.0,68101000.0,0.24,0.0,True,HARD_CONSTRAINED_SELECTION,1
Hamburg,Hamburg,53.5511,9.9937,subsidized_65_to_20,1.6528683133438498,18636153.80921744,20527786.067960024,22359701.879213598,0.0,18636153.80921744,20.905934813970127,0.49618831288530146,1080.0,1.07,0.81,0.92,0.69,0.66,0.62,61.860000000000014,0.0,22347753.80921744,GO,63.352505988965525,65504999.99999999,0.34116103822940913,3,Wave 2 Scale,180000000.0,132583000.0,0.28,0.0,True,HARD_CONSTRAINED_SELECTION,2
Munich,Bavaria,48.1351,11.582,subsidized_65_to_20,1.430217234066028,16125754.326263258,17762572.59855236,19347718.579911534,0.0,16125754.326263258,20.47156559881797,0.4293488299712315,900.0,1.18,0.89,0.9,0.74,0.71,0.56,62.22,0.0,19858954.326263256,GO,59.66380871887973,67078000.0,0.2960576392597164,3,Wave 2 Scale,180000000.0,132583000.0,0.28,0.0,True,HARD_CONSTRAINED_SELECTION,3
Cologne,North Rhine-Westphalia,50.9375,6.9603,subsidized_65_to_20,0.9507850360468153,10720137.852618318,11808267.881366549,12862047.01584205,0.0,10720137.852618318,21.154632482253316,0.2854240831795272,650.0,1.01,0.78,0.88,0.73,0.65,0.61,60.42,0.0,14345337.852618318,GO,50.57498936245382,66231000.00000001,0.2165955195092678,4,Wave 3 Option,220000000.0,197296000.0,0.32,0.0,True,HARD_CONSTRAINED_SELECTION,4
Frankfurt,Hesse,50.1109,8.6821,subsidized_65_to_20,0.7419118588237964,8365084.745288086,9214168.966919484,10036448.669278992,0.0,8365084.745288086,20.27056337376717,0.22272070349913897,450.0,1.22,0.87,0.95,0.68,0.69,0.58,63.290000000000006,0.0,12162484.745288087,GO,47.33311721664658,65548999.999999985,0.18554798311626555,4,Wave 3 Option,220000000.0,197296000.0,0.32,0.0,True,HARD_CONSTRAINED_SELECTION,5
Stuttgart,Baden-Wuerttemberg,48.7758,9.1829,subsidized_65_to_20,0.5630524944158372,6348438.531905099,6992826.383740516,7616871.722839204,0.0,6348438.531905099,20.590804206898955,0.1690274204028103,360.0,1.12,0.82,0.9,0.7,0.64,0.57,61.97999999999998,0.0,10067238.531905098,GO,44.128929476540826,65516000.0,0.1536607627435298,4,Wave 3 Option,220000000.0,197296000.0,0.32,0.0,True,HARD_CONSTRAINED_SELECTION,6
Duesseldorf,North Rhine-Westphalia,51.2277,6.7735,subsidized_65_to_20,0.5002038395399663,5639817.530756113,6212277.968881686,6766666.552113232,0.0,5639817.530756113,20.89230754447516,0.15016035895683197,330.0,1.1,0.8,0.91,0.75,0.66,0.6,61.010000000000005,0.0,9300417.530756114,GO,42.60302315286587,66330000.0,0.1402143454056402,5,Wave 3 Option,260000000.0,196086000.0,0.35,0.0,True,HARD_CONSTRAINED_SELECTION,7
Leipzig,Saxony,51.3397,12.3731,subsidized_65_to_20,0.45909293863141704,5176290.541714103,5701701.432264253,6210525.762868261,0.0,5176290.541714103,21.51916194124376,0.13781893502225367,320.0,0.93,0.74,0.84,0.63,0.58,0.71,60.71999999999999,0.0,8819490.541714102,GO,42.06653923930673,64339000.0,0.13707845228732343,5,Wave 3 Option,260000000.0,196086000.0,0.35,0.0,True,HARD_CONSTRAINED_SELECTION,8
Dortmund,North Rhine-Westphalia,51.5136,7.4653,subsidized_65_to_20,0.43522149674986793,4907139.116303604,5405230.232397866,5887597.239410402,0.0,4907139.116303604,21.617959645082284,0.13508925000000002,310.0,0.94,0.72,0.86,0.71,0.6,0.69,59.660000000000004,0.0,8486739.116303604,GO,41.23889273799722,65417000.0,0.12973293052728807,5,Wave 3 Option,260000000.0,196086000.0,0.35,0.0,True,HARD_CONSTRAINED_SELECTION,9
Hanover,Lower Saxony,52.3759,9.732,subsidized_65_to_20,0.41829669870714936,4716311.367373052,5195032.825466224,5658641.650180494,0.0,4716311.367373052,21.098419995586575,0.13508925000000002,280.0,0.99,0.75,0.89,0.64,0.58,0.64,61.60999999999999,0.0,8412911.367373051,GO,41.43569234045722,63965000.0,0.13152366712066055,-1,Hold,,,,,False,UNASSIGNED,10
Nuremberg,Bavaria,49.4521,11.0767,subsidized_65_to_20,0.38626242817932965,4355123.734999138,4797183.43424165,5225287.865648769,0.0,4355123.734999138,21.106937039020927,0.13508925000000002,260.0,1.0,0.76,0.88,0.67,0.59,0.63,61.3,0.0,8033123.734999138,GO,40.8618123133855,64580999.99999999,0.12438834541117572,-1,Hold,,,,,False,UNASSIGNED,11
Bremen,Bremen,53.0793,8.8017,subsidized_65_to_20,0.3214094829749978,3623904.2833033213,3991742.7501387605,4347969.019948222,0.0,3623904.2833033213,21.18359042993013,0.13508925000000002,220.0,0.97,0.7,0.85,0.62,0.57,0.66,60.21,0.0,7236504.283303321,GO,39.3,63964999.99999999,0.11313224862508126,-1,Hold,,,,,False,UNASSIGNED,12
