city,state,lat,lon,strategy,city_multiplier,expected_contribution_eur,downside_contribution_eur,upside_contribution_eur,city_prob_loss,risk_adjusted_city_score,adjusted_break_even_monthly_eur,adjusted_adoption_rate,households_k,income_index,brand_fit_index,logistics_index,competition_intensity,regulatory_complexity,savings_pressure_index
Berlin,Berlin,52.52,13.405,subsidized_65_to_20,3.0007935228436167,33834062.39319881,37268333.46235198,40594188.92005833,0.0,33834062.39319881,21.548119888920567,0.5403570000000001,2100.0,0.98,0.83,0.93,0.76,0.78,0.67
Berlin,Berlin,52.52,13.405,entry_35,3.0007935228436167,15561533.656626595,14558593.018136114,25837937.163510013,0.0,15561533.656626595,37.70920980561098,0.357267,2100.0,0.98,0.83,0.93,0.76,0.78,0.67
Berlin,Berlin,52.52,13.405,standard_65,3.0007935228436167,-7793427.719711298,-10628197.284953067,2032748.5127042567,1.0,-12206503.23100285,70.03138963899184,0.17070000000000002,2100.0,0.98,0.83,0.93,0.76,0.78,0.67
Hamburg,Hamburg,53.5511,9.9937,subsidized_65_to_20,1.6528683133438498,18636153.80921744,20527786.067960024,22359701.879213598,0.0,18636153.80921744,20.905934813970127,0.49618831288530146,1080.0,1.07,0.81,0.92,0.69,0.66,0.62
Hamburg,Hamburg,53.5511,9.9937,entry_35,1.6528683133438498,8571454.747642223,8019024.602446873,14231804.785843903,0.0,8571454.747642223,36.58538592444771,0.32806405761300955,1080.0,1.07,0.81,0.92,0.69,0.66,0.62
Hamburg,Hamburg,53.5511,9.9937,standard_65,1.6528683133438498,-4292701.124614405,-5854121.713652321,1119659.0435391979,1.0,-7846443.033071823,67.94428814540291,0.15674701171544175,1080.0,1.07,0.81,0.92,0.69,0.66,0.62
Munich,Bavaria,48.1351,11.582,subsidized_65_to_20,1.430217234066028,16125754.326263258,17762572.59855236,19347718.579911534,0.0,16125754.326263258,20.47156559881797,0.4293488299712315,900.0,1.18,0.89,0.9,0.74,0.71,0.56
Munich,Bavaria,48.1351,11.582,entry_35,1.430217234066028,7416829.4002165375,6938814.843401917,12314697.01019244,0.0,7416829.4002165375,35.825239797931445,0.28387190031281534,900.0,1.18,0.89,0.9,0.74,0.71,0.56
Munich,Bavaria,48.1351,11.582,standard_65,1.430217234066028,-3714449.045669938,-5065537.101529464,968834.3877244578,1.0,-7126245.723945241,66.5325881961584,0.13563226769726167,900.0,1.18,0.89,0.9,0.74,0.71,0.56
Cologne,North Rhine-Westphalia,50.9375,6.9603,subsidized_65_to_20,0.9507850360468153,10720137.852618318,11808267.881366549,12862047.01584205,0.0,10720137.852618318,21.154632482253316,0.2854240831795272,650.0,1.01,0.78,0.88,0.73,0.65,0.61
Cologne,North Rhine-Westphalia,50.9375,6.9603,entry_35,0.9507850360468153,4930586.935098003,4612810.672299237,8186609.251976671,0.0,4930586.935098003,37.0206068439433,0.18871339859629865,650.0,1.01,0.78,0.88,0.73,0.65,0.61
Cologne,North Rhine-Westphalia,50.9375,6.9603,standard_65,0.9507850360468153,-2469305.001829049,-3367486.2538062683,644065.2624756908,1.0,-5575452.527514176,68.75255556732327,0.09016611425177298,650.0,1.01,0.78,0.88,0.73,0.65,0.61
Frankfurt,Hesse,50.1109,8.6821,subsidized_65_to_20,0.7419118588237964,8365084.745288086,9214168.966919484,10036448.669278992,0.0,8365084.745288086,20.27056337376717,0.22272070349913897,450.0,1.22,0.87,0.95,0.68,0.69,0.58
