scenario,strategy,membership_fee_eur,first_year_subsidy_eur,effective_fee_eur,info_cues_used,consumer_climate_index,savings_rate_percent,inflation_percent,competitor_penalty_percent,adoption_rate,projected_member_households,projected_member_spend_eur,membership_revenue_eur,merchandise_contribution_eur,total_contribution_eur,break_even_monthly_spend_eur,replication_id
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.8326461973706853,0.09546666666666667,42960.0,465296022.8907993,2792400.0,7936016.4404388,-3204503.5595612004,55.27384195387936,0
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.6429864868852265,0.20246666666666666,91110.0,817998991.7039735,3188850.0,15413777.450120479,4669707.450120479,29.762837975165812,0
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,2.058119599586023,0.2843333333333333,127950.0,1021733845.2159029,2559000.0,19970896.022105753,8596976.022105753,17.007335985809036,0
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.3879623425004337,0.09833333333333333,44250.0,475618810.9526554,2876250.0,8291335.402613737,-2765334.5973862633,55.4292714845071,1
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,2.8378860177574134,0.1754,78930.0,718425655.2214322,2762550.0,13132029.780373052,1961659.7803730518,29.846530799349978,1
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,0.7238122401299911,0.3127333333333333,140730.0,1103370314.1208932,2814600.0,21759788.48327267,10641468.483272672,17.055160456771414,1
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,1.967278726552384,0.0974,43830.0,470566012.5370985,2848950.0,8140730.025649354,-2943239.974350646,55.31713976832972,2
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.8590371514504431,0.20653333333333335,92940.0,829292615.3187886,3252900.0,15538704.916857809,4858684.916857809,29.78615218294677,2
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.1336202615536106,0.3061333333333333,137760.0,1090146352.2436097,2755200.0,21600808.448988587,10423088.448988587,17.020658390255296,2
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.2107278379459188,0.092,41400.0,445756413.342106,2691000.0,7350556.180735484,-3891363.8192645162,55.28630506232515,3
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,1.6952529243236056,0.19173333333333334,86280.0,774595505.6056931,3019800.0,14284689.411224172,3371569.4112241715,29.769548879713543,3
base_case,subsidized_65_to_20,65.0,45.0,20.0,7,-24.1,20.0,2.2,1.8377366243744409,0.29,130499.99999999999,1036229454.2654935,2609999.9999999995,20209508.208010882,8886588.208010882,17.01117078840774,3
base_case,standard_65,65.0,0.0,65.0,5,-24.1,20.0,2.2,2.5059590053359524,0.09286666666666667,41790.0,450125243.28339916,2716350.0,7935415.680633754,-3281154.3193662465,55.39562449523596,4
base_case,entry_35,35.0,0.0,35.0,6,-24.1,20.0,2.2,0.35644101689441526,0.21126666666666666,95070.0,844066410.1226741,3327450.0,15869639.96810089,5264169.9681008905,29.828413189742438,4
