strategy,year,cumulative_warehouses,contribution_per_warehouse_eur,gross_contribution_eur,maintenance_capex_eur,growth_capex_eur,free_cash_flow_eur,discount_factor,discounted_fcf_eur
subsidized_65_to_20,1,1,11275038.464204935,11275038.464204935,902003.0771363948,55000000.0,-44626964.61293146,0.9216589861751152,-41130842.96122715
subsidized_65_to_20,2,2,11692438.508976726,23384877.01795345,1870790.1614362763,55000000.0,-33485913.143482823,0.8494552867973413,-28444785.95296806
subsidized_65_to_20,3,4,12125290.633839292,48501162.53535717,3880093.002828574,110000000.0,-65378930.467471406,0.7829080984307294,-51185694.129722916
subsidized_65_to_20,4,6,12574166.872222252,75445001.23333351,6035600.098666681,110000000.0,-40590598.86533317,0.7215742842679533,-29289132.32426038
subsidized_65_to_20,5,8,13039660.434137441,104317283.47309953,8345382.677847963,110000000.0,-14028099.204748437,0.6650454232884362,-9329323.1735541
entry_35,1,1,5185806.200314692,5185806.200314692,414864.4960251754,55000000.0,-50229058.29571048,0.9216589861751152,-46294062.94535528
entry_35,2,2,5325035.589481775,10650071.17896355,852005.6943170839,55000000.0,-45201934.51535353,0.8494552867973413,-38397022.247534275
entry_35,3,4,5468003.032494113,21872012.12997645,1749760.9703981162,110000000.0,-89877748.84042166,0.7829080984307294,-70366017.43588921
entry_35,4,6,5614808.889244353,33688853.33546612,2695108.2668372896,110000000.0,-79006254.93137118,0.7215742842679533,-57008881.85479562
entry_35,5,8,5765556.214104267,46124449.712834135,3689955.977026731,110000000.0,-67565506.2641926,0.6650454232884362,-44934130.71316745
standard_65,1,1,-2597122.2812844776,-2597122.2812844776,0.0,55000000.0,-57597122.28128448,0.9216589861751152,-53084905.32837279
standard_65,2,2,-2639931.513554317,-5279863.027108634,0.0,55000000.0,-60279863.02710863,0.8494552867973413,-51205048.33579701
standard_65,3,4,-2683446.384669404,-10733785.538677616,0.0,110000000.0,-120733785.53867762,0.7829080984307294,-94523458.4524296
standard_65,4,6,-2727678.525910038,-16366071.155460227,0.0,110000000.0,-126366071.15546022,0.7215742842679533,-91182507.34975447
standard_65,5,8,-2772639.7602787893,-22181118.082230315,0.0,110000000.0,-132181118.08223031,0.6650454232884362,-87906447.62573563
